OrderID,ProductPrice,Quantity,CustomerAge,ProductReviews,ProductRating,DiscountPercentage,CustomerTenure,ProductCategory,DeliveryType,PaymentMethod,CustomerLocation,ReturnStatus,BrowsingTime
24,21.51,6,46.0269817,20,3.13,47.64,46.64,Home,Overnight,PayPal,South,Yes,328.73
25,39.11,1,35.09572311,25,1.27,30.19,22.58,Clothing,Express,Credit Card,North,No,166.8
26,527.73,2,7.276122049,11,2.47,30.29,57.2,Home,Overnight,Debit Card,Central,Yes,161.06
27,26.98,4,4.330564943,15,4.54,6.4,20.95,Clothing,Overnight,Debit Card,East,No,309.5
28,57.51,2,,15,4.02,49.82,4.5,Electronics,Express,Debit Card,Central,Yes,893.88
29,37.99,1,50.84151878,18,2.29,38.64,58.76,Books,Standard,Credit Card,Central,No,72.83
30,,4,46.82437485,29,4.75,43.86,27.47,Sports,Express,Debit Card,Central,Yes,308.2
31,37.97,4,48.71115746,19,1.31,20.72,28.83,Clothing,Standard,UPI,Central,Yes,263.34
32,87.05,1,20.19430732,27,4.84,25.11,101.58,Sports,Standard,Credit Card,East,Yes,69.19
33,49.73,4,59.23808735,12,1.98,26.1,1.88,Electronics,Express,Credit Card,South,No,50.27
34,,3,20.5266005,18,1.04,9.7,13.43,Electronics,Express,UPI,North,No,72.34
35,66.45,1,38.19236598,35,2.74,34.47,6.56,Electronics,Overnight,PayPal,East,Yes,147.23
36,25.58,2,,30,2.44,45.15,23.89,Books,Overnight,PayPal,East,Yes,416.44
37,54.18,1,32.3918927,15,3.16,8.19,39.46,Clothing,Standard,Credit Card,West,Yes,152.59
38,10.81,2,55.07888207,21,4.19,4.32,81.37,Sports,Overnight,Credit Card,North,No,56.53
39,23.44,50,24.4233422,23,4.37,36.91,14.55,Home,Express,Credit Card,South,No,142.7
40,,3,14.75592116,31,2.6,13.66,37.03,Electronics,Standard,UPI,South,No,370.29
41,,4,35.29993229,25,2.72,31.19,59.75,Sports,Overnight,Debit Card,West,No,248.56
42,,4,29.00259899,21,1.59,34.79,27.6,Sports,Overnight,UPI,West,Yes,198.52
43,47.69,0,85.66074379,30,1.19,16.1,6.67,Books,Express,Debit Card,East,No,58.27
44,43.98,3,45.14761215,21,3.56,40.76,22.47,Clothing,Express,Debit Card,South,No,156.39
45,20.43,0,28.85989137,9,1.26,27.5,84.12,Books,Overnight,PayPal,South,Yes,307.72
46,35.6,3,19.15832646,15,3.94,43.45,105.27,Books,Standard,UPI,South,Yes,102.69
47,40.79,1,6.795673841,17,3.16,38.16,24.68,Sports,Standard,UPI,East,No,57.54
48,71.14,4,19.62171371,19,1.79,43.43,52.33,Clothing,Express,Credit Card,South,No,364.11
49,56.87,5,36.72412658,,3.16,1.01,5.37,Clothing,Express,UPI,Central,Yes,627.28
50,14.74,1,,22,1.73,12.18,6.78,Clothing,Express,Debit Card,West,No,142.37
51,56.48,3,51.82533714,19,2.75,4.5,73.33,Electronics,Overnight,Debit Card,West,Yes,314.52
52,42.3,3,38.43642247,19,4.2,22.1,3.49,Clothing,Overnight,UPI,West,No,263.44
53,36.46,3,30.15248501,15,2.85,44.5,5.09,Sports,Express,PayPal,West,No,220.43
54,62.23,2,39.03218535,28,1.59,23.38,13.1,Electronics,Standard,PayPal,Central,No,166.38
55,70.62,3,27.22043004,17,3.9,42.49,21.37,Home,Express,Credit Card,North,Yes,207.4
56,68.63,3,60.77545994,25,1.75,16.36,22.22,Books,Express,Credit Card,South,No,329.04
57,33.22,4,,24,3.95,16.98,8.29,Clothing,Standard,Debit Card,West,Yes,205.13
58,43.82,3,33.70493213,18,2.92,44.78,60.8,Home,Standard,UPI,South,Yes,377.6
59,,1,1.762663625,21,2.81,21.29,59.19,Clothing,Standard,Debit Card,South,No,152.79
60,,2,32.0684773,,4.41,39.49,11.94,Books,Standard,Debit Card,Central,No,247.43
61,40.42,4,47.54726207,19,3.83,11.83,13.67,Sports,Overnight,UPI,South,No,284.89
62,46.29,1,18.98416134,15,1.13,47.44,29.1,Sports,Overnight,Debit Card,West,Yes,1.24
63,27.87,4,23.73919498,30,2.18,28.73,26.1,Books,Express,Debit Card,South,No,222.72
64,26.08,2,46.89066527,25,4.48,37.97,11.56,Home,Overnight,PayPal,Central,Yes,236.56
65,66.25,1,12.85014165,17,1.07,4.48,12.84,Electronics,Express,Credit Card,West,Yes,169.29
66,77.12,5,,20,3.18,24.63,10.27,Electronics,Express,PayPal,Central,No,215.72
67,48.56,6,27.01784165,16,3.91,45.05,6.44,Clothing,Standard,Credit Card,East,No,189.94
68,70.07,1,29.17147669,23,3.49,43.85,14.71,Books,Standard,Credit Card,North,No,243.91
69,57.23,7,18.14182392,,4.04,2.34,27.83,Books,Overnight,Credit Card,South,No,276.7
70,37.1,4,40.67069391,15,3.9,15.18,32.51,Electronics,Overnight,PayPal,South,Yes,481.85
71,57.23,3,71.89807978,15,3.77,22.17,36.22,Home,Overnight,UPI,South,No,70.79
72,80.76,3,46.72245859,18,4.29,8.61,11.27,Books,Overnight,Debit Card,East,Yes,82.54
73,49.28,,22.03572107,16,3.58,36.5,34.72,Sports,Standard,UPI,North,No,497.04
74,81.29,3,52.03430878,16,2.61,9.23,0.16,Sports,Standard,UPI,Central,Yes,350.16
75,5,3,30.24980681,23,2.89,17.33,15.56,Books,Overnight,Credit Card,East,Yes,243.72
76,66.44,1,55.61727472,,3.87,33.16,37.91,Home,Express,Credit Card,East,Yes,36.97
77,51.74,0,47.10014603,33,4.51,24.1,23.86,Sports,Standard,PayPal,West,Yes,82.44
78,44.02,2,-9.147123482,16,2.09,36.93,15.42,Home,Standard,PayPal,East,No,140.65
79,51.84,4,19.93880551,13,2.37,48.06,24.83,Electronics,Standard,Debit Card,East,No,226.66
80,10.25,6,49.16577834,21,4.72,5.83,56.99,Clothing,Standard,UPI,South,No,48.49
81,45.61,3,37.27485908,18,3.31,35.48,20.05,Electronics,Overnight,UPI,West,No,302.11
82,57.14,3,,31,1.72,11.52,38.6,Clothing,Overnight,Debit Card,Central,Yes,240.66
83,79.56,2,,22,3.65,20.72,94.8,Sports,Express,Credit Card,North,No,173.55
84,39.63,1,6.406450699,11,4.96,1.64,29.34,Clothing,Standard,PayPal,Central,Yes,83.2
85,33.83,0,33.67440069,13,4.29,6.8,20.44,Clothing,Overnight,Debit Card,West,Yes,53.16
86,39.96,2,68.16034589,15,3.98,15.99,0.92,Books,Overnight,UPI,South,Yes,148.95
87,68.31,6,47.07400086,23,1.83,17.1,11.26,Clothing,Standard,Debit Card,North,Yes,203.16
88,,6,67.85625502,22,4.5,44.98,20,Books,Overnight,Debit Card,Central,Yes,259.27
89,39.4,3,48.23595635,21,3.1,37.09,38.29,BOOKS,Overnight,UPI,North,Yes,147.87
90,60.27,,50.41219015,29,4.56,48.61,13.83,Books,Overnight,UPI,North,Yes,216.2
91,51.94,2,64.61118032,26,2.32,29.95,77.29,Sports,Express,PayPal,North,Yes,231.72
92,69.37,5,40.65894889,30,1.25,12.09,7.61,Sports,Overnight,PayPal,East,Yes,81.33
93,35.96,3,32.19159018,,2.9,16.38,32.76,Clothing,Standard,UPI,West,Yes,274.3
94,43.45,2,50.48986275,29,2.08,15.99,13.03,Home,Standard,PayPal,West,Yes,258.57
95,42.16,2,56.80760356,23,3.86,16.32,15.97,Sports,Standard,PayPal,South,No,317.34
96,20.73,2,27.80053036,17,4.83,33.65,38.93,Electronics,Overnight,PayPal,Central,Yes,141.2
97,55.92,3,24.17646376,16,3.76,26.54,8.43,Electronics,Express,UPI,South,No,369.21
98,55.22,1,37.08284049,15,4.55,19.27,2.44,Books,Overnight,Credit Card,Central,Yes,110.44
99,50.1,6,120,27,2.81,7.45,17.63,Home,Standard,Credit Card,North,Yes,354.91
100,45.31,4,46.97136573,20,4.09,1.11,18.06,Books,Express,PayPal,Central,Yes,88.29
101,21.69,6,13.637486,21,4.37,10.94,38.29,Clothing,Express,Credit Card,Central,Yes,361.67
102,,2,63.67409101,17,3.84,5.37,82.85,Sports,Overnight,PayPal,North,Yes,159.22
103,43.15,5,25.38252606,19,3.03,39.27,1.37,Home,Standard,Credit Card,South,No,97.74
104,33.95,2,31.02402505,21,3.5,5.62,21.5,Books,Overnight,Credit Card,Central,No,257.96
105,46.77,3,21.4601846,20,3.8,36.21,27.44,Books,Standard,Debit Card,South,Yes,395.05
106,58.08,6,75.47493254,18,2.01,19.28,102.11,Electronics,Express,PayPal,South,Yes,244.23
107,87.72,6,38.63106005,16,4.24,3.67,68.58,Clothing,Overnight,Credit Card,West,Yes,168.74
108,53.49,5,22.23537379,24,4.8,40.64,29.91,Books,Express,Credit Card,North,No,128.57
109,55.15,4,47.95885325,17,2.86,28.98,17.7,Electronics,Standard,Debit Card,North,No,108.59
110,48.51,3,46.53703669,13,3.8,11.79,4.23,Home,Express,Credit Card,East,Yes,95.26
111,11.62,1,32.18409465,13,3.95,44.73,11.64,Books,Express,Debit Card,South,Yes,37.46
112,49.47,4,47.60910069,20,3.65,2.26,21.11,Electronics,Express,Credit Card,East,Yes,109.02
113,51.2,3,22.62062059,25,3.19,10.09,31,Clothing,Overnight,Debit Card,North,No,114.56
114,99.26,4,27.60622588,12,4.53,37.6,24.21,Sports,Standard,Debit Card,North,Yes,273.42
115,46.15,2,4.846750182,21,2.8,35.47,30.05,Home,Express,UPI,East,Yes,107.04
116,56.03,2,15.14073374,18,1.24,14.46,13.46,Books,Express,PayPal,North,Yes,305.05
117,49.31,4,62.11446209,21,4.38,3.1,31.21,Electronics,Express,UPI,North,No,289.54
118,26.63,4,59.62142942,20,3.7,42.9,3.72,Books,Express,PayPal,West,Yes,61.17
119,72.86,1,35.98682973,22,4.4,15.68,4.26,Sports,Standard,Credit Card,Central,Yes,554.02
120,65.04,2,59.94397171,22,1.55,9.79,4.27,Books,Standard,PayPal,West,Yes,51.62
121,65.82,,32.5988827,17,1.12,25.8,53.16,Books,Overnight,UPI,Central,No,677.86
122,31.81,2,31.34884546,25,4.74,45.51,1.9,Electronics,Standard,PayPal,West,No,203.54
123,78.06,,35.84765973,19,1.59,2.18,38.81,Sports,Standard,UPI,West,Yes,71.42
124,21.96,5,33.12617607,19,4.24,38.29,6.38,Home,Express,PayPal,South,No,31.69
125,61.74,2,31.77205515,13,4.29,28.62,15.17,Electronics,Overnight,Credit Card,East,Yes,262.95
126,,2,52.15097161,10,3.83,21.27,59.43,Sports,Overnight,Credit Card,West,No,67.57
127,30.19,2,37.25203481,25,1.53,37.2,21.16,Sports,Express,PayPal,South,Yes,542.92
128,38.67,2,45.68722647,16,3.67,48.29,5.66,Books,Overnight,PayPal,West,Yes,177.46
129,51.99,,50.47070788,16,4.56,11.46,8.02,Clothing,Standard,Credit Card,East,Yes,180.28
130,39.93,2,40.82278693,14,2.7,7.18,60.75,Clothing,Overnight,PayPal,South,No,398.41
131,18.99,2,20.44593011,23,2.65,45.64,13.37,Home,Express,Debit Card,Central,No,107.19
132,51.37,3,14.70701167,18,2.77,33.45,21.22,Books,Overnight,Credit Card,East,No,336.55
133,28.75,2,37.23170952,21,1.33,21.9,14.79,Clothing,Overnight,Credit Card,North,Yes,428.88
134,59.47,2,32.43115543,23,4.57,28.66,11.41,Electronics,Overnight,UPI,South,No,89.04
135,31.61,2,36.31087143,18,4.48,37.28,6.06,Home,Express,UPI,North,Yes,239.36
136,81,5,34.75918941,16,4.99,38.65,27.82,Books,Standard,Debit Card,South,No,226.57
137,,,73.7536049,13,3.34,45.99,30.4,Electronics,Overnight,PayPal,Central,Yes,376.1
138,43.56,4,15.04660617,8,4,21.34,7.71,Clothing,Standard,Debit Card,South,Yes,89.72
139,66.27,4,5.150805953,23,1.81,14.67,37.34,Clothing,Standard,PayPal,West,Yes,54.35
140,25.38,4,39.9856525,22,3.67,31.98,46.27,Clothing,Standard,UPI,North,Yes,141.58
141,54.55,4,29.35366168,15,3.6,20.79,60.82,Clothing,Overnight,PayPal,North,No,427.75
142,76.14,0,39.74101805,15,4.6,29.73,4.22,Sports,Standard,UPI,South,Yes,42.17
143,17.85,1,43.75824533,23,4.32,21,8.7,Home,Overnight,Credit Card,West,No,223.31
144,53.69,4,54.26157043,20,4.75,7.65,47.25,Home,Overnight,Credit Card,West,Yes,263.14
145,55.2,1,12.39161269,19,4.48,23.47,5.31,Clothing,Overnight,PayPal,South,Yes,192.46
146,65.64,4,26.64923153,24,4.47,34.55,0.08,Home,Standard,UPI,East,Yes,382.86
147,25.26,1,41.43141888,22,1.25,39.96,49.12,Electronics,Overnight,Debit Card,Central,No,128.22
148,23.59,2,46.55695394,26,4.38,24.67,9.48,Electronics,Express,UPI,South,Yes,125.26
149,60.44,2,67.90174325,17,3.43,8.26,12.85,Home,Express,UPI,West,Yes,247
150,55.94,,49.33555957,20,2.52,20.73,14.19,Clothing,Express,UPI,Central,Yes,106.09
151,55.01,4,34.14817106,21,1.23,39.31,45.26,Books,Overnight,Credit Card,South,Yes,280.02
152,56.93,7,21.64346371,18,3.71,20.64,9.9,Clothing,Express,UPI,Central,No,101.26
153,36.4,3,26.53565221,18,2.31,34.83,53.48,Sports,Overnight,PayPal,East,Yes,62.36
154,54.65,4,26.10945766,20,2.87,25.36,23.03,Books,Overnight,Credit Card,West,Yes,304.5
155,55.86,5,44.82850443,20,3.73,12.06,17.98,Sports,Overnight,Credit Card,East,Yes,95.99
156,35.71,3,38.85496168,21,4.65,39.81,9.45,Home,Standard,Credit Card,East,No,462.25
157,87.32,2,15.14525644,,4.3,4.21,6.7,Sports,Express,UPI,West,No,189.81
158,,3,28.46147796,28,2.8,26.24,23.48,Home,Overnight,Debit Card,East,Yes,74.67
159,26.17,2,48.1632133,17,2.55,10.44,14.21,Sports,Express,UPI,South,No,226.82
160,,2,40.27493532,15,1.96,3.35,57.93,Books,Express,UPI,South,Yes,71.38
161,30.51,4,43.52966924,20,2.49,25.15,16.24,Sports,Standard,Debit Card,Central,No,34.24
162,65.74,1,40.74382565,15,1.44,24.98,17.21,Clothing,Express,UPI,South,Yes,168.08
163,73.17,5,59.39646102,26,4.88,35.35,12.94,Home,Overnight,PayPal,South,Yes,102.56
164,,2,38.54064596,22,3.3,37.24,37.37,Electronics,Overnight,Debit Card,Central,No,159.76
165,69.27,3,29.20965803,21,1.51,36.39,13.27,Sports,Express,PayPal,North,Yes,95.64
166,58.26,6,21.26367438,22,2.41,20.48,7.53,Home,Express,PayPal,West,Yes,139.05
167,66.44,3,38.74414187,20,3.19,31.58,47.54,Electronics,Standard,Credit Card,South,No,193.1
168,87.94,3,-1.610560222,18,3.13,28.85,21.8,Home,Overnight,Credit Card,Central,Yes,44.88
169,45.09,7,32.23566497,15,1.14,21.08,21.49,Home,Express,Debit Card,East,Yes,59.25
170,34.93,3,31.9124021,20,4.8,29.86,22.65,Electronics,Express,UPI,East,Yes,66.06
171,32.21,1,14.5329372,19,2.1,47.36,30.45,Electronics,Overnight,PayPal,South,No,96.77
172,33.68,0,21.07601242,26,1.06,9.64,9.01,Books,Express,UPI,West,No,57.53
173,48.46,3,47.14486295,18,1.31,45.29,0.83,Sports,Standard,PayPal,Central,Yes,264.72
174,56.82,1,38.46067624,25,3.32,2.67,39.93,Sports,Express,Credit Card,Central,No,109.25
175,55.53,2,36.52682501,17,1.55,15.42,3.31,Home,Express,Credit Card,Central,Yes,66.93
176,66.54,1,39.59521301,21,1.17,14.41,30.71,Clothing,Standard,Credit Card,Central,No,169.47
177,50.26,3,36.38941382,20,2.52,31.32,2.06,Clothing,Standard,Debit Card,Central,No,105.72
178,79.07,1,53.64293844,19,3.49,6.56,11.29,Home,Standard,PayPal,West,No,355.26
179,44.71,2,36.85143773,27,1.45,44.12,1.56,electronics,Overnight,UPI,Central,Yes,94.04
180,104.4,,13.12680329,26,2.25,41.43,17.73,Electronics,Express,PayPal,West,No,470.42
181,62.51,3,59.45194947,26,2.67,32.6,25.41,Home,Express,UPI,West,Yes,157.03
182,32.86,4,,16,1.64,22.92,4.51,Sports,Standard,UPI,West,Yes,149.53
183,28.58,2,26.16119404,18,3.02,46.65,11.15,Clothing,Overnight,UPI,East,No,68.04
184,59.65,2,16.19897423,17,1.34,41.54,63.9,Clothing,Standard,PayPal,North,Yes,192.04
185,45.53,3,40.93871331,15,1.19,24.97,14.02,Clothing,Express,Credit Card,South,No,382.79
186,64.28,1,33.24241993,25,3.08,35.09,38.93,Books,Overnight,Debit Card,East,Yes,239.51
187,59.46,2,,25,1.99,28.35,62.88,Sports,Overnight,Debit Card,North,Yes,322.26
188,48.54,4,29.81139079,19,1.38,29.4,87.91,Books,Express,Credit Card,East,Yes,9.27
189,33.06,6,22.43928815,22,2.7,16.55,54.86,Electronics,Overnight,Debit Card,West,No,82.13
190,19.7,4,48.43694327,12,4.66,23.1,9.16,Home,Overnight,UPI,West,Yes,263.37
191,41.07,1,48.87922839,23,3.9,3.91,78.85,Home,Standard,Debit Card,Central,No,199.43
192,67.13,4,,19,4.26,17.87,40.16,Clothing,Overnight,PayPal,West,Yes,138.59
193,54.28,4,45.14535572,21,4.49,34.79,43.56,Clothing,Standard,Credit Card,East,Yes,1104.94
194,25.09,1,34.43469319,22,4.89,47.66,0.37,Electronics,Overnight,Credit Card,South,Yes,61.79
195,53.46,5,38.50797652,11,4.05,48.15,74.02,Books,Standard,Credit Card,West,Yes,139.47
196,557.6,2,52.47486324,11,3.43,27.79,36.13,Sports,Standard,Credit Card,North,No,128.87
197,32.32,1,44.37977501,21,2.46,30.33,35.06,Electronics,Overnight,PayPal,East,Yes,183.64
198,53.07,4,32.46088343,10,1.73,9.29,2.04,Home,Standard,UPI,North,Yes,79.05
199,51.16,3,55.28543819,18,3.75,34.77,6.35,Home,Express,UPI,Central,Yes,44.26
200,27.14,3,-0.472830592,17,4.98,3.53,78.65,Books,Express,UPI,Central,Yes,99
201,57.16,6,65.78109967,14,2.87,14.23,16.67,Electronics,Overnight,Debit Card,South,No,163.22
202,61.22,4,9.410613577,8,3.89,33.42,12.17,Sports,Overnight,UPI,East,Yes,188.47
203,,9,25.59360763,28,2.98,15.52,43.97,Electronics,Overnight,Debit Card,South,No,190.72
204,,3,34.38623697,26,2.73,2.49,2.19,Electronics,Express,PayPal,North,Yes,259.37
205,22.45,2,32.80278994,,2.64,41.59,12.95,Books,Overnight,Debit Card,South,No,196.46
206,31.24,,50.0961656,,3.02,15.52,11.31,Sports,Overnight,UPI,North,No,187.73
207,60.3,2,19.13245072,18,2.47,3.16,10.33,Home,Standard,Credit Card,South,Yes,154.25
208,60.28,5,38.91150226,,4,3.74,8.83,Clothing,Overnight,PayPal,Central,No,125.06
209,60.3,4,26.32681853,17,4.5,12.59,5.66,Sports,Express,UPI,East,Yes,547.81
210,127.05,3,39.42711469,18,4.53,8.9,4.56,Home,Express,UPI,South,Yes,219.59
211,61.42,5,34.0284161,25,1.91,38.72,24.55,Books,Overnight,UPI,North,No,191.43
212,72.71,3,36.39403479,18,4.58,16.08,60.44,Sports,Express,PayPal,East,Yes,133.53
213,69.08,1,26.75112751,,2.37,40.23,17.06,Sports,Standard,Credit Card,Central,Yes,202.29
214,63.03,3,27.34904075,18,2.24,8.69,8.49,Home,Standard,Credit Card,Central,No,224.84
215,43.69,7,39.30908771,25,3.91,24.64,4.16,Home,Overnight,Credit Card,West,Yes,88.28
216,65.18,3,49.15573259,24,2.22,34.4,42.55,Electronics,Overnight,UPI,East,Yes,157.43
217,34.54,,26.02580999,27,1.21,32.6,85.38,Electronics,Standard,Debit Card,South,No,181.05
218,45.26,5,21.96848683,19,2.49,30.06,10.31,Sports,Standard,UPI,Central,No,335.93
219,,2,44.20190249,35,3.89,46.24,8.25,Clothing,Overnight,Credit Card,South,Yes,80.38
220,51.64,4,34.5124416,18,2.31,11.43,22.08,Books,Express,PayPal,South,Yes,28.87
221,96.29,1,47.45747201,22,3.52,24.69,35.83,Home,Overnight,Debit Card,North,No,257.64
222,,3,21.4130418,20,3.64,44.2,14.59,Electronics,Overnight,Debit Card,South,Yes,41.66
223,63.73,8,8.308416119,16,3.93,3.89,23.87,Books,Overnight,UPI,West,No,109.22
224,17.75,3,27.00493877,15,4.59,2.79,30.26,Sports,Overnight,PayPal,East,Yes,148.86
225,40.56,5,23.50471086,,2.73,11.67,77.61,Home,Overnight,Debit Card,East,No,46.09
226,71.78,6,33.818174,20,1.67,31.65,4.33,Home,Overnight,Credit Card,North,Yes,59.5
227,51.29,5,25.44732179,13,2.28,12.99,142.69,Electronics,Overnight,UPI,West,Yes,31.8
228,28.45,4,46.11525427,19,2.73,9.51,11.95,Clothing,Express,UPI,West,No,67.43
229,35.69,3,30.67774606,23,3.86,22.94,30.83,Home,Overnight,Credit Card,East,Yes,372.9
230,63.59,4,37.25711748,22,1.05,30.68,20.39,Clothing,Standard,Credit Card,West,No,479.1
231,35.39,0,37.36451838,20,2.26,12.43,16,Books,Overnight,Credit Card,Central,No,186.58
232,54.33,8,37.92432639,16,4.12,15.03,28.74,Home,Express,Debit Card,South,No,89.41
233,50.91,2,34.63806334,26,3.68,30.68,12.09,Home,Standard,PayPal,South,Yes,169.44
234,36.97,4,42.65901036,17,3.93,47.29,3.24,Clothing,Overnight,Debit Card,East,Yes,212.76
235,92.88,0,23.06517299,23,4.25,33.74,16.11,Electronics,Overnight,PayPal,East,No,63.85
236,62.68,1,55.9912689,28,4.13,39.15,17.71,Sports,Standard,UPI,West,No,71.71
237,9.5,7,31.45193925,18,3.73,18.34,5.41,Books,Overnight,PayPal,North,No,417.94
238,53.73,4,15.32676293,16,2.76,13.61,65.83,Home,Express,Credit Card,East,Yes,338.27
239,36.76,5,37.82110035,15,4.93,22.71,6.19,Electronics,Overnight,Debit Card,East,No,154.98
240,67.05,1,22.23229276,21,3.28,40.36,12.63,Home,Express,Credit Card,East,No,66.67
241,34.15,,44.98001802,18,1.81,22.81,4.04,Books,Overnight,UPI,West,Yes,63.69
242,47.71,1,68.14408364,23,2.17,42.34,18.42,Sports,Standard,Debit Card,Central,No,72.81
243,60.1,2,23.20141863,10,3.77,49.44,8.82,Home,Express,Debit Card,East,Yes,163.88
244,67.32,1,39.985585,19,4.7,3.6,16.13,Clothing,Overnight,Credit Card,Central,No,175.39
245,25.99,4,8.667416169,16,1.71,2.27,6.11,Electronics,Overnight,Debit Card,West,No,47.06
246,43.31,3,41.80857844,19,1.33,7.48,1.33,Sports,Standard,Credit Card,North,No,88.89
247,40.5,1,21.714293,21,4.53,19.22,36.25,Home,Standard,PayPal,South,Yes,68.32
248,36.93,3,25.62748072,25,4.66,6.55,24.59,Sports,Express,UPI,South,Yes,173.78
249,85.31,2,18.48070265,21,2.11,43.53,10,Clothing,Express,Credit Card,South,Yes,320.97
250,58.1,2,45.98226839,27,2.51,1.16,1.17,Home,Express,UPI,South,No,52.44
251,24.78,1,50.10956536,18,3.64,15.79,48.16,Sports,Overnight,Debit Card,West,No,5.82
252,68.36,3,35.35077822,19,2.32,9.23,4.47,Home,Overnight,UPI,South,No,46.69
253,92.44,2,22.03359942,18,4.51,46.58,64.08,Home,Express,UPI,West,No,90.55
254,70.65,200,58.84284554,25,1.43,33.47,15.63,Sports,Overnight,UPI,North,Yes,232.41
255,19.61,3,23.74384808,20,1.15,45.6,9.99,Home,Standard,Debit Card,East,No,248.91
256,40.32,5,2.569515501,16,1.83,48.62,32.49,Clothing,Overnight,PayPal,East,No,59.48
257,75.34,6,41.87583515,21,2.14,24.85,50.26,Sports,Express,PayPal,East,Yes,97.29
258,35.85,3,18.4283799,26,1.45,11.72,11.12,Sports,Overnight,PayPal,West,No,165.96
259,58.88,5,,18,1.26,9.69,12.56,Clothing,Standard,Credit Card,West,Yes,97.59
260,65.49,2,29.28293455,25,4.02,11.15,13.62,Clothing,Express,Credit Card,West,No,220.76
261,31.46,2,,24,1.66,35.43,61.32,Clothing,Express,Debit Card,North,Yes,228.13
262,48.81,,56.0225052,15,4.66,2.02,28.31,Home,Express,PayPal,Central,No,394.67
263,5,,16.86711703,13,2.47,2.57,6.83,Home,Express,UPI,West,Yes,200.87
264,29.51,2,26.51094304,11,3.68,30.41,4.91,Books,Overnight,PayPal,West,Yes,398.31
265,44.95,1,33.86493391,21,1.9,32.1,6.28,Home,Standard,Credit Card,East,No,330.39
266,25.04,5,58.06326979,19,1.96,33.26,7.34,Clothing,Overnight,Debit Card,South,No,445.1
267,82.65,3,25.12425923,16,3.3,18.59,6.28,Books,Overnight,PayPal,South,Yes,187.26
268,,4,26.08244456,14,3.24,40.3,25.79,Clothing,Express,Credit Card,North,Yes,60.19
269,41.2,1,42.17210863,28,4.07,26.68,2.96,Electronics,Standard,Credit Card,South,No,293.25
270,52.61,3,26.34156911,20,4.03,5.27,11.76,Sports,Overnight,UPI,Central,Yes,4.35
271,78.83,,37.28788824,17,3.68,39.85,23.54,Electronics,Standard,PayPal,East,No,143.6
272,21.28,2,11.72693869,15,2.8,47.65,8.25,Clothing,Standard,UPI,North,No,180.35
273,73.26,2,68.21494914,16,4.56,3,1.62,Home,Standard,PayPal,South,No,215.17
274,822.64,2,14.78436155,17,3.49,19.57,2.05,Sports,Standard,Debit Card,South,No,44.07
275,30.37,4,30.17370944,29,4.96,24.38,3.23,Home,Overnight,PayPal,East,No,54.05
276,59.24,5,34.51278446,16,4.28,7.32,43.37,Home,Standard,UPI,North,No,94.07
